"","Parameter","MAP","Median","Left bound CI","Right bound CI"
"1","Speciation DA",0.348551142857143,0.345616,0.236019,0.490043
"2","Speciation PA",0.465793657338552,0.472163,0.199795,0.841593
"3","Speciation DB",1.14091919765166,1.15136,0.913475,1.67493
"4","Speciation PB",1.47558874755382,1.54971,0.939842,2.59816
"5","Extinction DA",0.157618199491194,0.150662,0.0560946,0.302803
"6","Extinction PA",0.448588638747554,0.45192,0.0869477,0.880867
"7","Extinction DB",0.469402550293542,0.492206,0.164656,1.20413
"8","Extinction PB",1.26606453405088,1.35689,0.600388,2.56057
"9","Net Div DA",0.192524457925636,0.193295,0.1351159,0.243102
"10","Net Div PA",0.0268620704500977,0.030174,-0.112485,0.152041
"11","Net Div DB",0.648675246575342,0.65773,0.4511,0.779348
"12","Net Div PB",0.185574103718199,0.18657,-0.12804,0.52313
"13","Rel Ext DA",0.440893133785428,0.440754456760484,0.214405501444385,0.638344781187637
"14","Rel Ext PA",0.944839752205834,0.939737703452975,0.408289224140779,1.2057480585914
"15","Rel Ext DB",0.429787619584441,0.427661689130224,0.177893584126457,0.724146096016101
"16","Rel Ext PB",0.876939420728753,0.880535560669671,0.576187034862309,1.06693564474302
"17","rho",0.0466900103718201,0.0473325,0.02721696,0.07712038
"18","alpha",0.0283801971624265,0.0249749,0.01210481,0.07910124
